Powerhouse/Unit:,LO-84,LO-91,LO-93,LO-39,LO-21,LO-64,LO-28,LO-44,LO-72,LO-59,LO-71,ZR-71,QW-97,TT-67,JC-43,LI-67,TT-63,QW-82,QW-13,QW-10,JC-52,QW-56,HJ-30,QW-91,HJ-80,QW-94,QW-15,QW-76,QW-05,JC-99,QW-92,QW-54
Field Name:,HT_GB_SH_NA_NA_NA_90_VM_HO-4vrkf,HT_GB_SH_NA_NA_NA_90_VM_HO-5mJuR,HT_GB_SH_NA_NA_NA_90_VM_HO-5sR7R,HT_GB_SH_NA_NA_NA_90_VM_HO-AoYd5,HT_GB_SH_NA_NA_NA_90_VM_HO-D8sJi,HT_GB_SH_NA_NA_NA_90_VM_HO-HIIAW,HT_GB_SH_NA_NA_NA_90_VM_HO-k2QXo,HT_GB_SH_NA_NA_NA_90_VM_HO-ksXGv,HT_GB_SH_NA_NA_NA_90_VM_HO-nOtnK,HT_GB_SH_NA_NA_NA_90_VM_HO-tycIY,HT_GB_SH_NA_NA_NA_90_VM_HO-yhjXd,HT_GB_SH_NA_NA_NA_DNA_VM_AX-alU4A,HT_GB_SH_NA_NA_NA_DNA_VM_HO-47caF,HT_GB_SH_NA_NA_NA_DNA_VM_HO-7nvE0,HT_GB_SH_NA_NA_NA_DNA_VM_HO-7xJRW,HT_GB_SH_NA_NA_NA_DNA_VM_HO-93Oix,HT_GB_SH_NA_NA_NA_DNA_VM_HO-AB4Kn,HT_GB_SH_NA_NA_NA_DNA_VM_HO-aD3l6,HT_GB_SH_NA_NA_NA_DNA_VM_HO-awezq,HT_GB_SH_NA_NA_NA_DNA_VM_HO-DuTvZ,HT_GB_SH_NA_NA_NA_DNA_VM_HO-DzxzI,HT_GB_SH_NA_NA_NA_DNA_VM_HO-HvcMW,HT_GB_SH_NA_NA_NA_DNA_VM_HO-iPtaz,HT_GB_SH_NA_NA_NA_DNA_VM_HO-jT2bm,HT_GB_SH_NA_NA_NA_DNA_VM_HO-nqPzD,HT_GB_SH_NA_NA_NA_DNA_VM_HO-QOolI,HT_GB_SH_NA_NA_NA_DNA_VM_HO-qVZ6H,HT_GB_SH_NA_NA_NA_DNA_VM_HO-rDM3R,HT_GB_SH_NA_NA_NA_DNA_VM_HO-rnKdB,HT_GB_SH_NA_NA_NA_DNA_VM_HO-Xq8AD,HT_GB_SH_NA_NA_NA_DNA_VM_HO-XRCzY,HT_GB_SH_NA_NA_NA_DNA_VM_HO-ZCyNY
2008-07-08 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.044228695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-09 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.861150302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-10 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.347883414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-11 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.944094973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-12 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.732573938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-13 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084272658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-14 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.124054301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-15 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.928632357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-16 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833376675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-17 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.736058677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-18 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.041074451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-19 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.048151889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-20 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.119791196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-21 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.001881831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-22 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.740062978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-23 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.097216784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-24 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.280450771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-25 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.198916676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-26 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.824805741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-27 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.493207701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-28 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.797160558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-29 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87875481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-30 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14634063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-31 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7613858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.760067651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-02 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.930504645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-03 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.535485133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-04 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.069020707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-05 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.160897872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-06 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.649500193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-07 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.068173507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-08 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.254336371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-09 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.232540084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-10 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.677009844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-11 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.024918893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
