HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-zbqiU,HT_GB_SH_NA_DNA_VM_HO-93Oix,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr
3.394117664,2.80516854,3.805882351,4.094230771,5.576444444,6.181060606
5.786755757,4.467649132,4.067741871,1.811235925,5.456355932,6.117054264
3.170000076,2.866666694,4.845488724,4.163829776,5.121875,5.64270073
3.210000038,2.766571447,4.30549828,4.611594203,5.592,6.360363636
3.200000048,2.680416703,5.386919937,2.569999933,5.930107527,6.79137931
6.275714318,3.619565191,5.219718319,4.93925928,4.550406504,5.987124464
3.140000105,2.605000019,5.422357798,2.857142883,4.467965368,6.375390625
5.558095203,4.246575342,5.379929579,4.885053409,4.389528796,6.556521739
3.150000016,2.555999994,5.125114069,2.553571377,4.150980392,6.043243243
3.089999914,2.50333333,5.143265228,2.474537061,4.057835821,7.646206897
3.130000114,2.569999933,5.468205159,2.701298697,4.946640316,8.527705628
3,2.425000072,5.382720653,2.619999949,4.661038961,7.420192308
5.657521348,4.336074791,5.219047645,2.654404119,4.721004566,7.61790393
5.589128637,4.329047646,5.405349859,2.833333333,4.549803922,8.519140625
3.059999943,2.380000114,5.052813802,2.411111169,7.088421053,9.679359431
3.099999905,2.415000021,5.14199996,2.63421048,5.341984733,8.674144487
3.039999962,2.389999986,5.198031495,2.7173913,5.18875,7.141908714
3.079999924,2.40999999,5.287984491,2.833333333,5.062780269,7.008677686
3.140000105,2.314999938,4.715573764,2.138461498,5.330373832,7.717391304
6.098498041,4.391230158,4.230364332,2.060526258,8.681012658,8.985285285
3.13500011,2.390000105,4.362204762,2.340983618,5.065437788,6.559821429
3.089999914,2.180000067,4.324354283,2.055244704,8.134954407,6.908083832
3.170000076,1.820000052,5.595505634,3.493243246,4.865178571,6.038339921
3.00999999,2.354999959,5.730136991,3.425925931,7.369354839,6.886018237
