HT_GB_SH_NA_DNA_VM_HO-7nvE0,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-uL9YZ,HT_GB_SH_NA_DNA_VM_HO-zbqiU,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,HT_GB_SH_NA_DNA_VM_HO-93Oix
10.3,3.394117664,2.80516854,14.956,3.805882351,5.576444444,6.181060606,4.094230771
12.66486486,3.328888893,2.827767009,11.9,4.294202891,5.599583333,6.194160584,4.383636359
10.1,3.347894719,2.853461541,12.2,5.014883709,5.252631579,5.8812749,2.498863637
10.1,3.339999962,2.79355769,12.2,4.354321005,5.201793722,5.82745098,2.22102272
11.58333333,3.359090913,2.791093765,12.1,4.549310335,5.0764,5.658139535,4.465124552
12.69090909,3.380000012,2.800204102,12.2,4.129743471,5.2985,5.963424125,4.405882352
12.68780488,3.416666706,2.789056623,12.3,4.307692297,5.36846473,6.067611336,3.145698922
12.615,5.786755757,4.467649132,12.3,4.067741871,5.456355932,6.117054264,2.243356641
12.6037037,3.346666634,2.858163272,12,4.452301195,5.097083333,5.70826087,4.016727261
12.63333333,5.544861095,4.259305033,13.39325843,4.375909035,5.4644,6.06122449,2.085714227
12.74634146,3.285000046,2.869999988,11.3,4.255160144,5.50648855,6.139583333,4.687586207
12.68,3.170000076,2.866666694,11.4,4.251666645,5.364074074,5.963957597,4.163829776
11.83333333,3.099999905,2.941000021,11.5,4.279310356,5.361507937,5.914173228,2.419512254
12.52702703,3.170000076,2.839999974,11.4,4.752123587,5.308298755,5.822222222,2.319230767
12.7475,3.167500079,2.739333344,11.5,4.845488724,5.121875,5.64270073,2.266666651
10.3,3.130000114,2.739777777,11.5,4.854878166,5.137751004,5.636964981,2.766666651
10.2,3.170000076,2.735312514,11.5,4.71513944,5.401449275,6.023507463,2.224390247
13.01052632,3.220000029,2.756153877,11.7,4.619444344,5.446613546,6.142307692,2.633333286
12.77714286,3.210000038,2.766571447,11.7,4.896414432,5.267871486,5.927091633,4.611594203
12.63870968,3.140000105,2.75035716,11.9,4.509745753,5.1734375,5.763485477,2.992173903
12.65588235,3.165000081,2.753600044,11.9,4.686400013,5.262139918,6.02406015,4.337454547
13.0425,3.140000105,2.758545442,12.1,4.30549828,5.592,6.360363636,4.43014706
12.73076923,3.170000076,2.773235307,11.9,4.720168033,5.161133603,5.828,2.237951803
13.15106383,3.210000038,2.730000014,12.1,4.467697592,5.189140271,6.022529644,2.34637683
13.08913043,3.210000038,2.639523824,12,4.657597176,5.322727273,6.165758755,2.477297319
12.66176471,3.200000048,2.680416703,12.2,4.658723332,5.318128655,6.113004484,2.569999933
12.77142857,3.079999924,2.743478257,12.2,4.835391056,5.311881188,6.056538462,2.64516126
13.36578947,3.089999914,2.681428637,12.1,4.850926059,5.745652174,6.325,2.544943777
13.30408163,3.130000114,2.558333317,12.1,5.386919937,5.930107527,6.79137931,2.599999905
13.22121212,6.076756729,4.110555547,12.2,5.243478277,5.941176471,6.802912621,2.347115404
13.29333333,3.140000105,2.639473677,12.16666667,5.111904661,5.78452381,6.695061728,2.611111058
13.38918919,5.641904761,4.301137947,14.67754011,5.143534416,5.940659341,6.827927928,2.634782563
13.31764706,6.275714318,3.619565191,11.9,4.962025353,4.749803922,6.092553191,4.93925928
13.35833333,5.926470595,4.185652178,14.48167539,5.221632648,4.770247934,6.230232558,2.470629399
13.18863636,3.054999948,2.670624986,12.1,5.169262218,4.674683544,5.975285171,2.451308947
13.1547619,3.019999981,2.648333311,12.1,5.219718319,4.968776371,5.850200803,2.844525562
12.98333333,3.160000086,2.600000064,12,5.102458926,4.627807487,5.897131148,2.759154921
13.15531915,3.099999905,2.660000086,12.2,5.030379718,4.550406504,5.987124464,2.6976744
13.13333333,3.099999905,2.608571393,12.2,4.99114393,4.608284024,6.205639098,2.668789794
13.19354839,3.140000105,2.605000019,12.2,5.440000057,4.57591623,6.25,2.857142883
12.63611111,3.099999905,2.549999952,14.52802198,5.209652505,4.599086758,6.517716535,2.831111108
12.79285714,3.130000114,2.577142869,12.4,5.258035743,4.544444444,6.580645161,2.563333273
12.93333333,5.838823532,4.110632915,12.5,5.422357798,4.546570397,6.345620438,2.754901956
12.73823529,3.210000038,2.574285712,12.3,5.464044978,4.448062016,6.477307692,4.828421067
12.72619048,3.079999924,2.502499998,14.69552239,5.170850134,4.467965368,6.375390625,4.591272749
12.5,3.110000014,2.482500017,15.68844221,5.396047517,4.738016529,6.598312236,5.068661992
12.78717949,5.558095203,4.246575342,14.57460317,4.697909422,4.564,6.364143426,4.885053409
12.78684211,3.099999905,2.607222239,14.40103627,4.483680565,4.554850746,6.497154472,4.610676178
12.62413793,3.079999924,2.529999971,12.7,5.212152806,4.633466135,6.680078125,4.533935015
12.65333333,3.130000114,2.490000069,14.77982063,5.379929579,4.528217822,6.53800738,4.26559139
12.62162162,2.960000038,2.49000001,14.49183673,5.310714289,4.45254902,6.574137931,2.446198882
12.67857143,3.210000038,2.589999914,14.43282828,4.909252681,4.389528796,6.556521739,2.489677429
12.73243243,5.528073385,4.281593628,14.37073171,4.273835122,4.453603604,6.677142857,2.570967682
12.75882353,3.150000016,2.555999994,14.53588517,5.046031706,4.680701754,7.165873016,2.553571377
12.73384615,3.039999962,2.435000022,14.71353712,5.096444382,4.612182741,7.013513514,4.311818171
12.86590909,3.099999905,2.536428554,14.33705584,5.069868937,4.41,6.710638298,4.287632513
12.715,3.170000076,2.49000001,14.48356164,5.125114069,4.330232558,6.6628,2.387323987
12.65277778,3.25999999,2.492000008,13.15,5.622522516,4.250549451,6.768774704,2.920481948
10.5,3.089999914,2.583333333,14.82722772,4.347535218,4.150980392,6.043243243,2.63518514
12.76206897,3.099999905,2.569999933,14.60150754,4.938723451,4.266842105,6.54,3.870434811
12.81666667,3.089999914,2.50333333,16.34334764,5.155691079,4.371428571,6.84556962,2.474537061
12.67368421,3.079999924,2.622500002,16.05093458,5.278378422,4.350574713,6.668811881,3.029999971
12.74705882,3.130000114,2.589999994,14.22222222,5.628294575,4.340196078,6.718478261,2.627586159
12.73863636,5.733591843,4.543264451,14.59120879,5.143265228,4.633179724,6.756048387,2.833333333
12.53913043,5.70192053,4.32524138,14.50490196,6.053684179,4.691509434,7.469847328,2.758273373
13.00357143,5.632825129,4.265588239,14.7877451,5.306589195,4.571818182,7.712121212,4.497887328
12.73513514,3.170000076,2.517499983,14.82777778,5.507539673,4.59902439,7.850740741,2.774999986
12.94594595,3.130000114,2.569999933,14.78571429,5.557466009,4.076271186,7.729962547,2.701298697
12.7875,3.140000105,2.680000067,14.70544554,4.459374997,4.074537037,7.724313725,2.855434806
13.54285714,3.130000114,2.685000062,14.64293478,5.308780547,4.057835821,7.646206897,2.839622648
10.55,5.657058817,4.222307722,14.44776119,5.468205159,4.174545455,7.850729927,2.663888874
10.8,3.004999995,2.480000019,13.35,5.482424259,5.672137405,9.380487805,2.759199991
10.5,2.960000038,2.508333365,14.78064516,5.530917847,3.144392523,6.980392157,2.742857146
10.4,2.965000033,2.463333368,14.7800995,5.465968619,4.403883495,7.89245283,3.266666651
10.3,3,2.425000072,14.65882353,5.520895502,4.442916667,7.747876448,2.619999949
13.41304348,3.089999914,2.475000024,14.85336788,5.288613914,4.791237113,8.659401709,2.569767381
10.9,3.089999914,2.460000038,15,6.034482764,4.946640316,8.527705628,2.962903261
12.6,3.140000105,2.420000076,14.86915423,5.382720653,4.646696035,8.424358974,2.931137779
11.25,3.170000076,2.476666689,16.47477876,5.352800066,4.758167331,8.661111111,2.595833277
10.4,6.45450002,5.673888908,16.09241071,5.859523928,4.43622449,8.291566265,2.729100529
10.3,3.099999905,2.529999971,14.66056338,5.67004212,4.624418605,8.256343284,2.75757575
10.5,5.657521348,4.336074791,14.48809524,5.315702547,4.9,8.537190083,2.654404119
10.2,3.160000086,2.450000048,14.72535211,5.415652246,5.101149425,8.402597403,2.846781135
10.3,3.039999962,2.369999886,14.86716418,5.365758835,4.661038961,7.420192308,2.84000001
10.2,3.059999943,2.400000095,16.00288462,5.219047645,4.567330677,6.779661017,2.762857131
10.3,3.170000076,2.514999986,14.78483412,5.47306125,4.868695652,7.813360324,2.838095245
9.9,5.421601723,4.219668063,14.98069307,5.50380952,4.341921397,7.146323529,2.770588223
10.1,3.039999962,2.420000076,14.83981481,5.444347875,4.943220339,7.867474048,2.702255631
10.1,5.589128637,4.329047646,14.73041237,5.368254048,4.823809524,7.763829787,2.833333333
10.1,5.525316415,4.23070066,14.82446809,5.326122519,4.721004566,7.61790393,2.75692307
10,5.366048353,4.099356222,13.7,5.352083403,4.645414847,8.126377953,2.760869555
10.1,3.160000086,2.460000038,14,5.405349859,5.202542373,8.571111111,2.760294108
10,3.149999976,2.319999933,13.88333333,5.421929889,9.205732484,9.982779456,2.467021308
9.8,5.300933308,4.169160014,13.7,5.384824985,4.678431373,8.098770492,2.560769173
9.6,3.079999924,2.450000048,13.825,5.331967276,6.27398374,9.223344948,2.438806029
9.9,3.059999943,2.380000114,14.40755814,5.196610186,4.164315353,7.902197802,2.411111169
9.6,3.140000105,2.436666727,14.83394495,5.209803948,4.549803922,8.519140625,4.19816175
10.4,3.089999914,2.420000076,6.875,5.105327813,3.846753247,7.633088235,2.536158158
9.3,3.099999905,2.380000114,5.901769912,5.052813802,4.692070485,8.524418605,2.661607114
9.6,3.039999962,2.415000081,4.533333333,4.364013839,4.15,7.940501792,2.764999986
12.5,3.019999981,2.369999886,15.37708333,5.060251013,3.984782609,7.760150376,2.758783774
10.2,3.039999962,2.480000019,14.8416185,5.159615392,9.766987179,11.80152439,2.674883693
9.9,3.099999905,2.415000021,14.72887701,5.228571468,11.24321767,11.69520958,2.63421048
10.5,3.039999962,2.400000095,14.73989899,5.182539684,7.088421053,9.679359431,3.765909065
10.6,3.039999962,2.319999993,14.73252427,5.159999967,5.922826087,9.110756972,2.411428629
10.2,3.099999905,2.329999924,14.53209302,5.14199996,5.197107438,8.664552239,2.70267379
10.3,7.121351384,6.072631641,14.63664921,5.324034321,4.827027027,8.405109489,2.75818181
9.9,3.130000114,2.436666727,14.58241206,5.008546998,5.236567164,8.721235521,2.756830595
10.3,9.917045407,9.116000042,14.55380435,5.538559287,5.213852814,8.822692308,2.71855669
9.8,3.039999962,2.389999986,14.41734694,5.422608761,5.320987654,8.93015873,2.7173913
9.9,3.130000114,2.400000095,14.40265957,5.36363645,5.341984733,8.674144487,2.761538451
10.4,3.019999981,2.415000081,14.30060976,5.243027921,5.247265625,8.244,2.754358968
10.1,2.970000029,2.319999933,11.625,5.198031495,6.267883212,7.00942623,3.261224479
10.2,3.00999999,2.314999938,13.18,5.22699117,5.473303167,7.327947598,3.25253456
11.5,5.807490209,4.368664126,14.1,5.198818886,5.70530303,7.705882353,2.641935448
12.6,3.019999981,2.299999952,8.451612903,4.957466104,5.18875,7.141908714,2.966666698
12,3.079999924,2.40999999,9.45210084,4.835500126,5.585658915,7.53800738,2.878285753
11.4,3.079999924,2.369999886,10.03497537,4.572916675,5.44,7.524820144,2.839130443
10.5,3.089999914,2.329999924,9.796315789,4.985546902,8.733653846,8.384337349,2.833333333
12.7,3.079999924,2.349999984,13.15406977,5.545491842,5.194029851,6.809482759,3
11.2,3.140000105,2.319999933,14.17897436,5.332936503,5.169827586,7.031428571,2.34000001
12.66666667,5.917838998,4.373102042,14.1,5.287984491,5.263551402,7.219909502,2.252739722
