HT0143_HT_GB_SH_NA_90_VM_HO-AoYd5,HT0143_HT_GB_SH_NA_DNA_VM_HO-FX1cx,HT0143_HT_GB_SH_NA_DNA_VM_VE-IVjvP,HT0143_HT_GB_SH_NA_DNA_VM_VE-RW8a5,HT1488_HT_GB_SH_NA_DNA_VM_HO-nqPzD,HT1488_HT_GB_SH_NA_DNA_VM_HO-VUVWW,HT3148_HT_GB_SH_NA_90_VM_HO-k2QXo,HT3148_HT_GB_SH_NA_DNA_VM_VE-7S4bf,HT3151_HT_GB_SH_NA_DNA_VM_HO-iPtaz,HT3151_HT_GB_SH_NA_DNA_VM_HO-rPdl9,HT3240_HT_GB_SH_NA_90_VM_HO-D8sJi,HT3240_HT_GB_SH_NA_DNA_VM_VE-h5MwB,HT3763_HT_GB_SH_NA_90_VM_HO-5mJuR,HT3763_HT_GB_SH_NA_DNA_VM_HO-ffvug,HT3763_HT_GB_SH_NA_DNA_VM_VE-o5faf,HT4775_HT_GB_SH_NA_DNA_VM_HO-7xJRW,HT4775_HT_GB_SH_NA_DNA_VM_VE-NHxrV,HT5242_HT_GB_SH_NA_DNA_VM_HO-Xq8AD,HT5242_HT_GB_SH_NA_DNA_VM_VE-VITui,HT6053_HT_GB_SH_NA_90_VM_HO-tycIY,HT6053_HT_GB_SH_NA_DNA_VM_VE-bsJaI,HT7963_HT_GB_SH_NA_90_VM_HO-4vrkf,HT7963_HT_GB_SH_NA_DNA_VM_VE-IvLS3,HT8170_HT_GB_SH_NA_90_VM_HO-nOtnK,HT8170_HT_GB_SH_NA_DNA_VM_VE-EpG9g,HT8253_HT_GB_SH_NA_90_VM_HO-ksXGv,HT8253_HT_GB_SH_NA_DNA_VM_VE-MJG9b,HT8461_HT_GB_SH_NA_90_VM_HO-yhjXd,HT8461_HT_GB_SH_NA_DNA_VM_VE-4nEL3,HT8588_HT_GB_SH_NA_90_VM_HO-HIIAW,HT8588_HT_GB_SH_NA_DNA_VM_VE-T0Vlk,HT9405_HT_GB_SH_NA_90_VM_HO-5sR7R,HT9405_HT_GB_SH_NA_DNA_VM_VE-Nup9R,HT9792_HT_GB_SH_NA_DNA_VM_HO-DzxzI,HT9792_HT_GB_SH_NA_DNA_VM_VE-9IGie,HT_GB_SH_NA_DNA_VM_AX-alU4A,HT_GB_SH_NA_DNA_VM_HO-47caF,HT_GB_SH_NA_DNA_VM_HO-7nvE0,HT_GB_SH_NA_DNA_VM_HO-93Oix,HT_GB_SH_NA_DNA_VM_HO-AB4Kn,HT_GB_SH_NA_DNA_VM_HO-aD3l6,HT_GB_SH_NA_DNA_VM_HO-aq55m,HT_GB_SH_NA_DNA_VM_HO-awezq,HT_GB_SH_NA_DNA_VM_HO-DuTvZ,HT_GB_SH_NA_DNA_VM_HO-HvcMW,HT_GB_SH_NA_DNA_VM_HO-jT2bm,HT_GB_SH_NA_DNA_VM_HO-lt0T4,HT_GB_SH_NA_DNA_VM_HO-QOolI,HT_GB_SH_NA_DNA_VM_HO-qVZ6H,HT_GB_SH_NA_DNA_VM_HO-rDM3R,HT_GB_SH_NA_DNA_VM_HO-rnKdB,HT_GB_SH_NA_DNA_VM_HO-uL9YZ,HT_GB_SH_NA_DNA_VM_HO-XRCzY,HT_GB_SH_NA_DNA_VM_HO-zbqiU,HT_GB_SH_NA_DNA_VM_HO-ZCyNY,HT_GB_SH_NA_DNA_VM_VE-cGlLG,HT_GB_SH_NA_DNA_VM_VE-cL6JU,HT_GB_SH_NA_DNA_VM_VE-lbZus,HT_GB_SH_NA_DNA_VM_VE-o50Y4,HT_GB_SH_NA_DNA_VM_VE-PXFw9,HT_GB_SH_NA_DNA_VM_VE-qDG6Y,HT_GB_SH_NA_DNA_VM_VE-rRjFX,HT_GB_SH_NA_DNA_VM_VE-rSYqc,HT_GB_SH_NA_DNA_VM_VE-sk7RN,HT_GB_SH_NA_DNA_VM_VE-UHfO1,HT_GB_SH_NA_DNA_VM_VE-vpFzQ,HT_GB_SH_NA_DNA_VM_VE-WFeFp,HT_GB_SH_NA_DNA_VM_VE-xkeo9
2.248247462,4.062090783,2.544343941,3.576443438,3.644242813,3.339890903,2.123404297,2.077966139,3.444358628,3.707617113,3.51111118,2.044444486,2.109797336,3.659251047,2.257010619,5.867144909,4.890868537,25.0,24.04750335,2.685218344,2.525577784,2.00000003,2.007142919,5.484792745,4.792228081,2.08709681,7.76470603,6.673684211,2.025000006,2.111965843,2.081818223,4.555434857,3.810055923,2.249938648,3.155308318,,6.164241083,10.3,4.094230771,6.032330827,2.207361017,4.863414634,4.06592375,2.606294965,4.314427467,5.130128391,2.009022989,2.933925014,2.324706815,3.293306525,2.740692605,14.956,2.859611017,3.805882351,2.34861176,7.88941375,3.111271864,4.2128267,2.137478952,2.1330605,2.857015194,4.307766183,6.444610926,2.398608283,3.370022333,2.291453744,2.291390206,3.43151225
2.124561442,7.512894885,2.355238134,6.365658115,3.324818402,2.535497965,2.162069004,2.313636402,3.432717306,3.698509885,2.000826494,2.858441632,2.330092635,3.284052333,2.423809562,7.391776481,5.99096127,23.42749248,23.69885322,2.383919635,2.2284211,2.033333368,2.016666686,4.511711795,3.67722777,3.880000117,6.799999904,3.24333332,2.212500036,2.021666708,2.011111154,3.907368517,2.01739135,3.081104386,2.505376703,,7.708077617,12.66486486,4.383636359,6.12,2.2481843,4.845714286,4.338769763,2.778942167,3.01314685,3.9904463,2.007249284,2.541025857,2.529575947,2.817348914,3.436035067,11.9,2.248773214,4.294202891,2.420029339,7.8191693,3.388637183,2.649727186,2.153890983,2.702334583,2.817852102,4.375882333,5.537589817,2.27557305,2.028320787,,2.766263683,5.322363267
2.213310097,4.692313761,2.254285757,4.122254954,3.118099116,2.373234842,2.127777822,2.267567619,3.445861024,3.70697771,3.033333398,2.815584466,2.407246423,4.152447725,2.470833378,5.521823788,4.963425619,2.791259651,3.006264143,2.572093065,2.14456526,2.175000052,2.420000041,2.093434387,2.491304386,2.218181853,2.632876753,2.00000004,2.083333433,2.024000053,2.033333375,2.542105305,2.200000048,4.148884939,3.400935298,,7.227636633,10.1,2.498863637,6.377840909,2.789159483,4.79,3.739222296,2.932500933,2.020914746,4.284453717,2.033664773,4.268882033,2.478510731,3.889034156,3.090475817,12.2,2.492875283,5.014883709,2.047627234,6.21242035,2.944315817,3.781729,2.259426831,2.337330183,6.197116083,3.853526717,2.018760102,2.998029033,2.489172,,3.747469938,4.171674633
2.609090982,2.846555564,2.549610638,2.069442504,3.154421492,2.381867047,2.017777817,2.34545459,3.431223392,3.697913627,,,2.305882389,3.886656979,2.386699547,7.8466115,6.015198849,8.930093587,8.890273295,2.552760783,2.065882393,2.005882375,2.031578962,3.215350919,3.099487229,2.244186085,2.490909146,2.033333381,2.042857221,2.005000053,2.532000036,3.10679616,3.358427012,3.943373018,4.536017346,,7.642198112,10.1,2.22102272,6.543646409,2.3090582,5.002777778,4.579230707,4.219681983,2.16493455,2.906018071,2.041370262,2.492020596,2.254441842,3.556008683,3.4990343,12.2,2.424435501,4.354321005,2.516310145,4.238099346,3.064221288,2.778485259,3.215322017,3.25026615,3.503821639,5.067202576,6.210318,2.353111267,2.9097196,,3.331494224,4.179805883
2.004142047,2.835903329,2.736363669,2.326020791,3.183745823,2.420533626,2.650000049,2.048529453,3.40769043,3.71257391,,,2.431428606,3.689093109,2.465829199,7.148455163,5.604054834,4.838302129,2.118957902,2.344927583,2.023255846,2.050000049,2.025000036,3.874774835,4.064071904,2.175000057,2.145588253,2.266666717,2.357142925,2.01750004,2.0703704,2.296551778,2.341666712,2.903744053,4.16262826,,6.23687035,11.58333333,4.465124552,6.350931677,2.5612269,4.935294118,4.550896877,3.7994787,3.989521067,4.025631083,2.248323864,2.061087552,2.406018,2.695126517,3.04318785,12.1,2.075727444,4.549310335,2.232839274,7.621199433,3.286392633,4.903035817,2.264386417,2.796188067,2.839452583,4.686217458,3.6582487,4.040205833,2.327322336,,2.930752,4.588216483
2.065384662,3.948044737,2.120000066,2.21833671,3.154188253,2.423360205,2.227710885,2.819540281,3.413852035,3.687181041,,,2.243318015,2.175421251,2.312558182,7.848818214,6.109714556,22.82822496,23.98565946,2.264864911,2.560294161,2.01666673,2.087500046,4.848205229,2.091000037,2.04939766,2.01666672,2.200000048,2.345454574,2.018750019,2.007692365,2.266666714,2.986315835,3.485045445,3.116199241,,8.5356048,12.69090909,4.405882352,6.211377246,2.59162045,4.845454545,4.132942917,2.837087966,3.1401044,4.474550567,2.254428571,3.843665967,2.385044204,2.528065586,3.004034067,12.2,2.224516067,4.129743471,2.128469183,7.7215061,3.162997033,2.363181737,3.717414333,2.196347589,5.818437814,4.442711433,5.574715967,2.6861804,2.297732,,2.96854005,4.600368283
2.025000066,6.091936632,2.041666715,3.320898953,3.173299008,2.396674032,2.075757622,2.428000056,3.415705095,3.695270109,,,2.406572814,4.414513788,2.436893252,7.479391488,6.114945105,10.91359916,11.37325786,2.094117694,2.036434145,2.01111114,2.040000014,2.256893341,3.424598983,2.046875045,2.000000072,2.12500003,2.150000066,2.044827605,2.040000057,2.263380333,2.066666701,3.240572293,3.771055636,,6.388969967,12.68780488,3.145698922,6.379041916,2.970320167,4.77654321,3.990351242,3.09395481,5.3955743,4.61554885,2.239259259,2.572663085,2.651573683,3.377288011,3.078204483,12.3,2.057305017,4.307692297,3.221766867,7.593236983,3.47781525,3.107587167,2.067463729,2.030413362,3.376017262,4.248228954,5.642480767,2.397267817,2.490342075,,3.290823288,4.329619283
2.294056884,5.317889771,2.126915662,5.186618693,3.140904509,2.383094904,2.168354477,2.165217433,3.404470498,3.711592059,,,2.531282106,3.388550348,2.552709408,6.648149149,5.205970784,16.85059673,18.20657885,2.366447411,2.036708903,2.015789496,2.381818238,2.660487852,3.114359024,2.000000038,2.01111118,2.114285776,2.040000081,2.043478284,2.061538527,2.300000061,2.068518546,3.328626187,2.479931881,,9.575910883,12.615,2.243356641,6.229834254,2.245602743,4.77721519,4.654501883,3.224888089,2.7673318,2.522719714,2.249915254,4.340676966,2.14165322,3.25605978,3.06270155,12.3,2.75143385,4.067741871,2.350154203,7.4089978,3.084535295,3.08001835,2.20004285,3.047571013,2.369405412,4.66644925,6.246897767,3.508327217,2.250706617,,3.708698772,5.495901817
2.080555601,5.707326128,2.200000034,4.502689395,3.127114324,2.347284437,2.106818224,2.289090959,3.41153266,3.700240923,,,2.162814102,3.564029379,2.264423116,6.543003795,5.259073756,15.42949633,15.52853674,2.396756799,2.476335917,2.000000051,2.10000005,4.13350794,3.19656868,2.01827962,2.033333401,2.100000024,2.07142864,2.080000043,2.244444476,2.262963005,2.057575798,3.416680081,2.728132605,,4.37443446,12.6037037,4.016727261,6.498675497,2.030136767,4.8,3.698717967,2.319399167,2.189926431,2.142053135,2.302917847,5.2319899,2.8369224,2.500770867,3.13747205,12.0,2.239212169,4.452301195,2.885453981,3.470035383,3.379108203,2.316513291,2.087484345,2.677570767,5.895932483,3.7693269,3.114130429,2.3571531,2.286610021,,3.452977982,4.616697133
2.400000059,3.708861363,2.019672173,4.874178645,3.514733004,3.170352517,2.34545458,2.279687537,3.412113462,3.696026815,,,2.372935821,2.864506915,2.432158633,7.742872931,6.02568449,11.48582161,12.44032806,2.490678011,2.845348888,2.000000051,2.069230807,3.831818238,2.948863685,2.033333388,2.050000036,2.00000006,2.050000072,2.10888892,2.043589797,2.263291179,2.052054823,3.504733975,2.97633333,,6.056894217,12.63333333,2.085714227,6.142424242,2.554871083,4.790909091,4.387538695,3.019423667,2.102596847,2.360054085,2.328140845,3.386009051,2.136462715,3.806309586,3.2609145,13.39325843,2.131143537,4.375909035,3.794257817,6.321633967,2.750144492,6.113403339,2.55541985,2.426482967,6.62457225,4.582266233,2.445227017,3.79529745,3.259130217,,3.15049922,3.827648767
