GN_GB_ND_SH_DNA_VM_HO-1hbtR,GN_GB_ND_SH_DNA_VM_HO-34IaB,GN_GB_ND_SH_DNA_VM_HO-7IkeA,GN_GB_ND_SH_DNA_VM_HO-9W9pq,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,GN_GB_ND_SH_DNA_VM_HO-eAB8c,GN_GB_ND_SH_DNA_VM_HO-EAskK,GN_GB_ND_SH_DNA_VM_HO-eY9y0,GN_GB_ND_SH_DNA_VM_HO-fl8X9,GN_GB_ND_SH_DNA_VM_HO-idzZd,GN_GB_ND_SH_DNA_VM_HO-ieC5u,GN_GB_ND_SH_DNA_VM_HO-IMqGo,GN_GB_ND_SH_DNA_VM_HO-j6Sse,GN_GB_ND_SH_DNA_VM_HO-LOXXL,GN_GB_ND_SH_DNA_VM_HO-OnqTn,GN_GB_ND_SH_DNA_VM_HO-qRVHP,GN_GB_ND_SH_DNA_VM_HO-RMRJ9,GN_GB_ND_SH_DNA_VM_HO-xAeWp,GN_GB_ND_SH_DNA_VM_HO-XnieG,GN_GB_ND_SH_DNA_VM_HO-ybTm8,GN_GB_ND_SH_DNA_VM_VE-2VJKp,GN_GB_ND_SH_DNA_VM_VE-32QOv,GN_GB_ND_SH_DNA_VM_VE-76HfD,GN_GB_ND_SH_DNA_VM_VE-DI4Wa,GN_GB_ND_SH_DNA_VM_VE-fn2xX,GN_GB_ND_SH_DNA_VM_VE-htsBX,GN_GB_ND_SH_DNA_VM_VE-kxcsh,GN_GB_ND_SH_DNA_VM_VE-lHB6Q,GN_GB_ND_SH_DNA_VM_VE-LrC1E,GN_GB_ND_SH_DNA_VM_VE-SrDKP,GN_GB_ND_SH_DNA_VM_VE-tVcYY,GN_GB_ND_SH_DNA_VM_VE-u5yO7,GN_GB_ND_SH_DNA_VM_VE-U7ecJ
2.288342593,2.030386221,1.905048712,,5.576444444,6.181060606,5.157088617,4.2612238,3.962180883,2.432310887,,1.951625233,3.775490033,2.5,4.434014284,4.848955404,1.785824244,6.827661083,2.25181632,,2.106762067,1.745159788,3.115145983,3.286608093,4.134511567,,2.066446169,2.36449705,3.694760772,,1.753563067,2.0263742,4.597945205,2.590533763
1.190208386,1.949185639,3.365341055,,5.456355932,6.117054264,7.368630983,4.395772233,2.068277763,2.46357074,,4.563676926,4.963051133,2.5,4.63667291,4.770516636,2.116760625,6.67753675,2.284275762,,1.940261763,2.660448556,3.847788367,2.938532515,4.55662039,,2.178184586,2.879695767,6.102086492,,4.26114228,1.941188607,1.3525,1.116386925
3.214632845,2.141109717,2.658415017,,5.121875,5.64270073,8.862411467,5.607672939,5.77131545,2.359856982,,2.021939775,1.261036486,2.5,4.524565333,4.728583868,1.851917358,2.319551149,2.172966059,,9.955282667,2.329682466,6.95991505,3.264647533,1.343105607,,2.800414455,1.301491003,6.966926617,,3.305222396,9.495908483,20.0,3.231731183
2.45703164,1.84133515,3.861364833,,5.592,6.360363636,8.061469483,6.143229533,5.467703917,2.359354256,,6.183338932,1.090968776,2.5,4.523558083,3.007825148,1.886286259,5.544404594,2.21750493,,3.626767254,2.784346233,6.752460392,1.830530299,5.248003095,,1.960419429,1.962448629,6.609025075,,5.364415811,3.582627433,20.0,4.036590745
3.76353695,1.538357442,6.078542936,,5.930107527,6.79137931,13.10160998,1.29869775,6.724041123,2.378853864,,3.249780393,1.637114961,2.5,4.374939406,6.63432039,1.92077563,7.180068414,2.198323804,,5.255041056,3.816145961,1.403046921,3.1033412,5.570245383,,3.147178296,3.93346815,11.01695976,,3.55332001,4.764812178,20.0,3.6267785
6.189052723,1.686529433,8.098999417,,4.550406504,5.987124464,6.753347917,5.595230992,5.5596422,2.397946886,,3.07667725,3.775075638,2.5,4.67164133,8.10812085,2.194073508,8.656264933,2.233983757,,1.077254348,4.920473271,5.656220215,2.148290124,7.529353467,,2.366370683,2.35931166,5.145288183,,2.731367417,7.542520467,20.0,4.630563068
3.738750559,1.762377833,1.855410572,,4.467965368,6.375390625,4.945465034,3.757739725,5.660927567,2.416496961,,1.405906268,7.213333283,2.5,4.60827289,7.0433743,2.102117714,7.341117783,2.241935148,,6.92928025,1.546197244,4.656543454,3.615880483,6.0681987,,2.148771817,1.84802,3.511619857,,1.336681123,7.76625839,20.0,3.488524356
2.859494449,2.29955175,6.562849459,,4.389528796,6.556521739,7.689301781,7.183813683,6.50566855,2.355626575,,3.462357967,5.077815474,2.5,4.568634256,6.97873214,2.018333744,5.906530667,2.215008182,,6.63149465,4.355148239,12.1750774,3.3424126,3.622660345,,2.812584327,2.735202383,6.88808578,,3.038508433,1.847659927,20.0,4.604543463
2.59919963,1.65729115,3.842116933,,4.150980392,6.043243243,2.456072465,7.994762633,8.595497167,2.290044982,,6.7168673,3.624053458,2.5,4.573179273,5.568260579,2.164167786,5.4396806,2.156696695,,1.782339156,3.890808076,16.2266625,3.418719883,3.202322633,,4.851224676,5.327297817,2.088937133,,6.029479317,2.062645356,1.170833333,2.2537998
2.156806102,1.768554943,2.112201967,,4.057835821,7.646206897,5.655744936,8.230247559,4.36757915,2.417826496,,2.842075733,6.621716883,2.5,4.338479809,5.62119983,1.517027696,5.94796731,2.21739325,,2.249060806,1.844925466,14.75446731,3.032094217,4.115599043,,2.905600983,2.846308767,5.113288034,,2.675864767,7.127125426,1.923529412,1.862175568
3.908633373,1.6896717,2.793979335,,4.946640316,8.527705628,3.763620845,7.840276033,4.588034414,2.259952455,,3.00312265,10.49367303,2.5,3.664940986,9.253312017,1.462739825,1.670169912,2.15341793,,6.559287167,2.371663943,13.474402,3.201821968,1.389620439,,2.789701,2.434543158,3.507176105,,2.950070533,3.226959207,1.880833333,3.031535383
1.579289852,1.965540203,9.710660817,,4.661038961,7.420192308,4.198341695,5.948288283,5.729793326,2.2822907,,5.613941466,5.610208183,2.5,4.066797149,8.051353724,1.558172226,6.793288383,2.198566992,,3.056767968,5.2600621,7.3109298,2.862712267,4.361087017,,4.348680995,2.348817,3.502120017,,5.165290217,2.577471592,1.985,1.341206638
1.684748942,1.747469014,6.810214701,,4.721004566,7.61790393,2.155561157,3.819201067,7.191007833,2.424186749,,4.866056976,4.844689249,2.5,4.606824001,6.548437966,2.045938038,6.35183905,2.120000615,,2.491402717,3.838907512,2.983977441,3.756700305,4.318136164,,4.463151883,2.200788033,2.092693152,,4.961305244,4.029889916,1.883,1.338379486
2.603370481,2.1974923,1.602401681,,4.549803922,8.519140625,3.954853322,3.724449574,5.8471633,2.25945924,,8.5720445,4.457391667,2.5,4.183916237,6.221475793,1.7971141,6.06652378,1.826527324,,4.021459877,1.678706573,2.706418527,2.73716526,3.920181237,,3.187480056,2.6884588,3.72287355,,8.253038583,1.448266107,1.445,2.361265957
