HT0143_HT_GB_SH_NA_90_VM_HO-AoYd5,HT0143_HT_GB_SH_NA_DNA_VM_HO-FX1cx,HT0143_HT_GB_SH_NA_DNA_VM_VE-IVjvP,HT0143_HT_GB_SH_NA_DNA_VM_VE-RW8a5,HT1488_HT_GB_SH_NA_DNA_VM_HO-nqPzD,HT1488_HT_GB_SH_NA_DNA_VM_HO-VUVWW,HT3148_HT_GB_SH_NA_90_VM_HO-k2QXo,HT3148_HT_GB_SH_NA_DNA_VM_VE-7S4bf,HT3151_HT_GB_SH_NA_DNA_VM_HO-iPtaz,HT3151_HT_GB_SH_NA_DNA_VM_HO-rPdl9,HT3240_HT_GB_SH_NA_90_VM_HO-D8sJi,HT3240_HT_GB_SH_NA_DNA_VM_VE-h5MwB,HT3763_HT_GB_SH_NA_90_VM_HO-5mJuR,HT3763_HT_GB_SH_NA_DNA_VM_HO-ffvug,HT3763_HT_GB_SH_NA_DNA_VM_VE-o5faf,HT4775_HT_GB_SH_NA_DNA_VM_HO-7xJRW,HT4775_HT_GB_SH_NA_DNA_VM_VE-NHxrV,HT5242_HT_GB_SH_NA_DNA_VM_HO-Xq8AD,HT5242_HT_GB_SH_NA_DNA_VM_VE-VITui,HT6053_HT_GB_SH_NA_90_VM_HO-tycIY,HT6053_HT_GB_SH_NA_DNA_VM_VE-bsJaI,HT7963_HT_GB_SH_NA_90_VM_HO-4vrkf,HT7963_HT_GB_SH_NA_DNA_VM_VE-IvLS3,HT8170_HT_GB_SH_NA_90_VM_HO-nOtnK,HT8170_HT_GB_SH_NA_DNA_VM_VE-EpG9g,HT8253_HT_GB_SH_NA_90_VM_HO-ksXGv,HT8253_HT_GB_SH_NA_DNA_VM_VE-MJG9b,HT8461_HT_GB_SH_NA_90_VM_HO-yhjXd,HT8461_HT_GB_SH_NA_DNA_VM_VE-4nEL3,HT8588_HT_GB_SH_NA_90_VM_HO-HIIAW,HT8588_HT_GB_SH_NA_DNA_VM_VE-T0Vlk,HT9405_HT_GB_SH_NA_90_VM_HO-5sR7R,HT9405_HT_GB_SH_NA_DNA_VM_VE-Nup9R,HT9792_HT_GB_SH_NA_DNA_VM_HO-DzxzI,HT9792_HT_GB_SH_NA_DNA_VM_VE-9IGie,HT_GB_SH_NA_DNA_VM_AX-alU4A,HT_GB_SH_NA_DNA_VM_HO-47caF,HT_GB_SH_NA_DNA_VM_HO-7nvE0,HT_GB_SH_NA_DNA_VM_HO-93Oix,HT_GB_SH_NA_DNA_VM_HO-AB4Kn,HT_GB_SH_NA_DNA_VM_HO-aD3l6,HT_GB_SH_NA_DNA_VM_HO-aq55m,HT_GB_SH_NA_DNA_VM_HO-awezq,HT_GB_SH_NA_DNA_VM_HO-DuTvZ,HT_GB_SH_NA_DNA_VM_HO-HvcMW,HT_GB_SH_NA_DNA_VM_HO-jT2bm,HT_GB_SH_NA_DNA_VM_HO-lt0T4,HT_GB_SH_NA_DNA_VM_HO-QOolI,HT_GB_SH_NA_DNA_VM_HO-qVZ6H,HT_GB_SH_NA_DNA_VM_HO-rDM3R,HT_GB_SH_NA_DNA_VM_HO-rnKdB,HT_GB_SH_NA_DNA_VM_HO-uL9YZ,HT_GB_SH_NA_DNA_VM_HO-XRCzY,HT_GB_SH_NA_DNA_VM_HO-zbqiU,HT_GB_SH_NA_DNA_VM_HO-ZCyNY,HT_GB_SH_NA_DNA_VM_VE-cGlLG,HT_GB_SH_NA_DNA_VM_VE-cL6JU,HT_GB_SH_NA_DNA_VM_VE-lbZus,HT_GB_SH_NA_DNA_VM_VE-o50Y4,HT_GB_SH_NA_DNA_VM_VE-PXFw9,HT_GB_SH_NA_DNA_VM_VE-qDG6Y,HT_GB_SH_NA_DNA_VM_VE-rRjFX,HT_GB_SH_NA_DNA_VM_VE-rSYqc,HT_GB_SH_NA_DNA_VM_VE-sk7RN,HT_GB_SH_NA_DNA_VM_VE-UHfO1,HT_GB_SH_NA_DNA_VM_VE-vpFzQ,HT_GB_SH_NA_DNA_VM_VE-WFeFp,HT_GB_SH_NA_DNA_VM_VE-xkeo9
1.241558471,4.062090783,1.239583363,3.576443438,3.644242813,3.339890903,1.907843169,2.077966139,3.444358628,3.707617113,1.004166681,1.019318199,2.109797336,3.659251047,2.257010619,5.867144909,4.890868537,25.0,24.04750335,2.685218344,2.525577784,1.100000024,1.546666678,5.484792745,4.792228081,1.325000048,1.399999976,1.50000004,1.78571432,1.874285746,1.41636366,1.270175461,1.159615411,1.41877291,3.155308318,,6.164241083,10.3,4.094230771,6.032330827,2.207361017,4.863414634,4.06592375,2.606294965,1.350014517,5.130128391,1.755862069,2.933925014,2.324706815,1.911772762,2.740692605,14.956,1.311251047,3.805882351,1.443251736,7.88941375,3.111271864,1.562618205,1.226590188,2.1330605,2.857015194,4.307766183,6.444610926,2.398608283,1.408619084,1.738780488,2.291390206,3.43151225
1.241304378,7.512894885,1.225252547,6.365658115,3.324818402,2.535497965,1.913043525,1.951785748,3.432717306,3.698509885,1.013636375,1.233333349,2.330092635,3.284052333,2.423809562,7.391776481,5.99096127,23.42749248,23.69885322,2.383919635,1.982352982,1.204687517,1.650000036,4.511711795,3.67722777,1.300000072,1.212500051,1.399999976,1.949999988,1.678000024,1.150000036,1.381395368,1.1878049,2.249938648,1.609818109,,7.708077617,12.66486486,4.383636359,6.12,1.850339483,4.845714286,4.338769763,1.1736237,4.314427467,3.9904463,1.317035176,2.541025857,2.529575947,1.826179983,3.436035067,11.9,2.859611017,4.294202891,1.601026825,7.8191693,3.388637183,4.2128267,1.409057914,1.750360018,2.817852102,4.375882333,5.537589817,2.27557305,3.370022333,1.337284768,1.505733595,1.31136473
1.322105284,4.692313761,1.338596514,4.122254954,3.118099116,2.373234842,2.123404297,2.313636402,3.445861024,3.70697771,1.254545477,1.184285736,2.407246423,4.152447725,2.470833378,5.521823788,4.963425619,2.791259651,3.006264143,1.993495979,1.714285747,1.192592627,1.566666683,1.509178773,1.064975867,1.275000041,1.200000048,1.5,1.920000053,1.772222241,1.100000024,1.379545475,1.161111146,3.081104386,2.505376703,,1.07904632,10.1,2.498863637,6.377840909,1.402232861,4.79,3.739222296,2.778942167,3.01314685,1.88355895,1.054089069,4.268882033,1.49169909,3.293306525,3.090475817,12.2,1.137871362,5.014883709,1.62742658,6.21242035,1.970620103,2.649727186,1.517713414,2.702334583,6.197116083,3.853526717,2.018760102,1.625188633,1.339580302,1.143196721,2.766263683,5.322363267
1.284090942,2.846555564,1.248214317,2.069442504,3.154421492,2.381867047,2.162069004,2.267567619,3.431223392,3.697913627,1.071250009,1.000000015,2.305882389,3.886656979,2.386699547,7.8466115,6.015198849,8.930093587,8.890273295,2.572093065,2.2284211,1.001785741,1.471428565,2.093434387,1.560606088,1.260000062,1.233333389,1.400000036,1.720000053,1.716666709,1.863888913,1.296774214,1.17959187,4.148884939,3.400935298,,7.227636633,10.1,2.22102272,6.543646409,2.2481843,5.002777778,4.579230707,2.932500933,2.020914746,4.284453717,1.476071429,2.492020596,2.478510731,2.817348914,1.240941496,12.2,1.958312287,4.354321005,1.890730636,4.238099346,2.944315817,1.859175322,1.836584071,2.337330183,3.503821639,5.067202576,6.210318,2.998029033,2.028320787,1.581723077,3.747469938,4.171674633
1.35068495,2.835903329,1.345555582,2.326020791,3.183745823,2.420533626,2.127777822,2.34545459,3.40769043,3.71257391,1.050000012,1.100000024,2.431428606,3.689093109,2.465829199,7.148455163,5.604054834,4.838302129,2.118957902,2.552760783,2.14456526,1.100000024,1.700000024,3.215350919,2.491304386,1.328571473,1.200000048,1.399999976,2.025000006,1.722580679,1.375,1.210810822,1.143333368,3.943373018,4.536017346,,7.642198112,11.58333333,4.465124552,6.350931677,1.860264183,4.935294118,4.550896877,4.219681983,1.987493322,2.906018071,1.463407643,2.061087552,2.254441842,3.889034156,3.4990343,12.1,2.248773214,4.549310335,1.465570608,7.621199433,3.064221288,1.820793034,1.135577922,3.25026615,2.839452583,4.686217458,3.6582487,2.353111267,2.489172,1.551619938,3.331494224,1.235061511
1.250574736,3.948044737,1.257954571,2.21833671,3.154188253,2.423360205,2.017777817,2.048529453,3.413852035,3.687181041,1.036363661,1.325000025,2.243318015,2.175421251,2.312558182,7.848818214,6.109714556,22.82822496,23.98565946,2.344927583,1.95108699,1.314285738,1.961111175,3.874774835,3.099487229,1.231250046,1.266666731,1.550000012,2.212500036,1.755172425,1.200000048,1.475000039,1.23928575,2.903744053,4.16262826,,6.23687035,12.69090909,1.901694892,6.211377246,2.789159483,4.845454545,4.132942917,3.7994787,1.905588136,4.025631083,1.463461538,3.843665967,2.406018,3.556008683,3.04318785,12.2,2.492875283,4.129743471,1.112531913,7.7215061,3.286392633,1.583700018,1.220432967,2.796188067,5.818437814,4.442711433,5.574715967,4.040205833,2.9097196,1.562283951,2.930752,4.179805883
1.345121974,6.091936632,1.372340455,3.320898953,3.173299008,2.396674032,2.650000049,2.819540281,3.415705095,3.695270109,1.102500031,1.455555576,2.406572814,4.414513788,2.436893252,7.479391488,6.114945105,10.91359916,11.37325786,2.264864911,1.952380987,1.087500022,1.550000012,4.848205229,4.064071904,1.212500051,1.200000048,1.399999976,1.825000048,1.747916686,1.25000006,1.295121978,1.172500035,3.485045445,1.021082411,,8.5356048,12.68780488,4.405882352,6.379041916,2.3090582,4.77654321,3.990351242,2.837087966,2.16493455,4.474550567,1.485676568,2.572663085,2.385044204,2.695126517,3.004034067,12.3,2.424435501,4.307692297,1.468691052,1.522452511,3.162997033,1.816874533,1.167458546,2.196347589,3.376017262,4.248228954,5.642480767,2.6861804,2.327322336,1.576215385,2.96854005,4.588216483
1.292063507,5.317889771,1.336923102,5.186618693,3.140904509,2.383094904,2.227710885,2.428000056,3.404470498,3.711592059,1.30000003,1.131250032,2.531282106,3.388550348,2.552709408,6.648149149,5.205970784,16.85059673,18.20657885,2.094117694,1.913636405,1.147222248,1.575000018,2.256893341,1.840363673,1.200000048,1.287500039,1.399999976,1.75333337,1.721052653,1.200000048,1.272307715,1.182758638,3.240572293,3.116199241,,1.789846028,12.615,1.811235925,6.229834254,1.845980367,4.77721519,4.654501883,3.09395481,3.989521067,4.61554885,1.485093168,1.286859456,2.651573683,2.528065586,3.078204483,12.3,2.075727444,4.067741871,1.46828686,7.593236983,3.47781525,3.781729,1.57436281,2.030413362,1.749006503,4.66644925,6.246897767,2.397267817,2.297732,1.57303125,3.290823288,4.600368283
1.285454573,5.707326128,1.332857171,4.502689395,3.127114324,2.347284437,2.075757622,2.165217433,3.41153266,3.700240923,1.027777784,1.700000048,2.162814102,3.564029379,2.264423116,6.543003795,5.259073756,15.42949633,15.52853674,2.366447411,2.065882393,1.3125,1.75000004,2.660487852,2.091000037,1.300000072,1.209523854,1.300000072,1.755555617,1.751470608,1.300000072,1.261904771,1.153448313,3.328626187,3.771055636,,6.388969967,12.6037037,3.145698922,6.498675497,1.491041671,4.8,3.698717967,1.480209132,3.1401044,2.522719714,1.484371069,1.866361678,2.14165322,3.377288011,3.06270155,12.0,2.224516067,4.452301195,1.803345793,7.4089978,3.084535295,2.778485259,1.60584921,3.047571013,2.369405412,3.7693269,3.114130429,1.689999274,2.490342075,1.548167702,1.576728775,4.329619283
1.291780848,3.708861363,1.321428597,4.874178645,3.514733004,3.170352517,2.168354477,2.289090959,3.412113462,3.696026815,1.433333357,1.047656266,2.372935821,2.864506915,2.432158633,7.742872931,6.02568449,11.48582161,12.44032806,2.396756799,2.023255846,1.400000024,1.725000054,4.13350794,3.424598983,1.200000048,1.275000066,1.253333387,1.889999986,1.797058845,1.066666683,1.174509827,1.137209335,3.416680081,2.479931881,,9.575910883,12.63333333,2.243356641,6.142424242,2.5612269,4.790909091,4.387538695,3.224888089,5.3955743,2.142053135,1.285853606,4.340676966,2.8369224,3.25605978,3.13747205,13.39325843,2.057305017,4.375909035,1.716611201,3.470035383,3.379108203,4.903035817,1.162295833,2.677570767,5.895932483,4.582266233,2.445227017,3.508327217,2.250706617,1.542372405,3.708698772,5.495901817
